person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
68,2018,1602.0,1.0,0.0,0.0,1.0,0.0,,2610.0,1,0,0,0,0,0,0,1,1,0,0.1528,TRAINING
69,2012,0.0,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.3556,TRAINING
69,2014,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6,1.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.3556,TRAINING
69,2016,0.0,0.6,0.7142857142857143,0.8888888888888888,0.25,0.6666666666666666,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.3556,TRAINING
69,2018,0.0,1.0,0.75,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.3556,TRAINING
70,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.389,TRAINING
70,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.389,TRAINING
70,2012,0.0,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.389,TRAINING
70,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.389,TRAINING
73,2012,0.0,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,1,0,0,0,1,0,0,0,1,0,0.8838,TESTING
73,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0.8838,TESTING
73,2016,0.0,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0.8838,TESTING
73,2018,0.0,0.5,0.75,1.0,1.0,1.0,,0.0,1,0,0,0,1,0,0,0,1,0,0.8838,TESTING
75,2012,1000.0,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,1000.0,,0,1,0,1,0,0,0,0,1,0,0.5393,TRAINING
75,2014,1000.0,0.3333333333333333,0.8,0.3333333333333333,0.6,0.25,1000.0,1000.0,0,1,0,1,0,0,0,0,1,0,0.5393,TRAINING
